"","sub_num","run_num","file_name","trial_num","rt","response","t_direction","accuracy","target_position_1","target_position_2","target_position_3","target_position_4","target_location_type","target_number","trialTypeValid0Invalid1","trialTypeExtraTarget1NoExtraTarget0","extraTargetShapeNumber","extraTargetShapePosition","extraTargetShapeType"
"660",2,6,"Stimuli\scenes\mainScenes\pexels-pixabay-271647.jpg",11,1017,"z","L",1,316,910,421.6,1015.6,2,14,1,1,5,4,1
"661",2,6,"Stimuli\scenes\mainScenes\pexels-curtis-adams-15062094.jpg",12,872,"/?","R",1,340,892,445.6,997.6,2,5,0,0,0,0,0
"662",2,6,"Stimuli\scenes\mainScenes\pexels-curtis-adams-7027760.jpg",13,2233,"/?","R",1,1500,922,1605.6,1027.6,2,14,1,0,0,0,0
"663",2,6,"Stimuli\scenes\mainScenes\pexels-curtis-adams-10827337.jpg",14,765,"z","L",1,648,914,753.6,1019.6,2,4,0,1,14,3,3
"664",2,6,"Stimuli\scenes\mainScenes\pexels-max-rahubovskiy-7214338.jpg",15,1230,"z","L",1,1334,944,1439.6,1049.6,2,5,0,0,0,0,0
"665",2,6,"Stimuli\scenes\mainScenes\pexels-curtis-adams-7028072.jpg",16,1013,"z","L",1,1610,792,1715.6,897.6,3,11,0,0,0,0,0
"666",2,6,"Stimuli\scenes\mainScenes\pexels-jesse-bannister-7033835.jpg",17,669,"z","L",1,1316,934,1421.6,1039.6,2,4,0,0,0,0,0
"667",2,6,"Stimuli\scenes\mainScenes\041_L_filler_absent_fruit.jpg",18,939,"z","L",1,678,898,783.6,1003.6,2,14,1,1,4,3,1
"668",2,6,"Stimuli\scenes\mainScenes\pexels-gustavo-galeano-maz-11315956.jpg",19,701,"/?","R",1,914,950,1019.6,1055.6,2,5,0,0,0,0,0
"669",2,6,"Stimuli\scenes\mainScenes\pexels-curtis-adams-6835139.jpg",20,1137,"z","L",1,1614,792,1719.6,897.6,3,11,0,0,0,0,0
"670",2,6,"Stimuli\scenes\mainScenes\pexels-curtis-adams-5502217.jpg",21,948,"/?","R",1,110,724,215.6,829.6,2,4,0,1,11,4,1
"671",2,6,"Stimuli\scenes\mainScenes\080_L_filler_absent_plant.jpg",22,773,"/?","R",1,478,904,583.6,1009.6,2,14,1,0,0,0,0
"672",2,6,"Stimuli\scenes\mainScenes\AdobeStock_27579147.jpeg",23,743,"/?","R",1,1454,832,1559.6,937.6,2,5,0,1,14,1,1
"673",2,6,"Stimuli\scenes\mainScenes\pexels-max-rahubovskiy-7018399.jpg",24,1185,"z","L",1,1332,544,1437.6,649.6,3,11,0,1,4,2,2
"674",2,6,"Stimuli\scenes\mainScenes\pexels-gustavo-galeano-maz-8363713.jpg",25,825,"z","L",1,678,920,783.6,1025.6,2,4,0,1,5,1,3
"675",2,6,"Stimuli\scenes\mainScenes\073_L_filler_absent_coffeemug.jpg",26,1009,"z","L",1,474,290,579.6,395.6,1,14,0,0,0,0,0
